bin,v_low,v_high,parameter,estimate,bootstrap_sem
0,-0.001805776826318207,1.090245320380023,b_v,0.4478182070000898,0.019093748903728953
0,-0.001805776826318207,1.090245320380023,Q_v,0.03638044574004467,0.002463654262614699
0,-0.001805776826318207,1.090245320380023,a_0,0.6475581431956179,0.12849569250879708
0,-0.001805776826318207,1.090245320380023,a_1,-1.332085747549751,0.18599253206719682
0,-0.001805776826318207,1.090245320380023,c_q0,10.100040825051089,1.298349414004164
0,-0.001805776826318207,1.090245320380023,c_qsigma,-7.689695250200343,1.63492162530196
0,-0.001805776826318207,1.090245320380023,c_qq,-7.625462728870358,0.49971681057629486
0,-0.001805776826318207,1.090245320380023,c_p0,0.00819857403678739,1.049557266522248
0,-0.001805776826318207,1.090245320380023,c_pp,-7.622685512286492,0.5551052587005829
0,-0.001805776826318207,1.090245320380023,c_pomega,0.05702190929191937,0.5864611848336161
0,-0.001805776826318207,1.090245320380023,c_omega0,0.009465951318097722,0.9009632367702058
0,-0.001805776826318207,1.090245320380023,c_omegap,0.023003406724199833,0.4968305272034835
0,-0.001805776826318207,1.090245320380023,c_omegaomega,-6.207464109352556,0.5694105753206579
0,-0.001805776826318207,1.090245320380023,Q_sigma,0.1691951650514641,0.010379216032435072
0,-0.001805776826318207,1.090245320380023,Q_qq,30.21984181926003,2.2238156331654566
0,-0.001805776826318207,1.090245320380023,Q_pp,31.548134716460204,2.9158582509095834
0,-0.001805776826318207,1.090245320380023,Q_omegaomega,14.581347598596714,1.5172185618720482
0,-0.001805776826318207,1.090245320380023,Q_qp,1.6372465305812607,1.6657374000711294
0,-0.001805776826318207,1.090245320380023,Q_qomega,-1.3025388783296723,1.7821757688467468
0,-0.001805776826318207,1.090245320380023,Q_pomega,-7.176149199794959,1.4968292609365812
0,-0.001805776826318207,1.090245320380023,n,413.0,16.648942957055908
1,1.090245320380023,1.8471509030723694,b_v,0.28300860244432624,0.03144202205739531
1,1.090245320380023,1.8471509030723694,Q_v,0.019532157277121875,0.0027862760159786445
1,1.090245320380023,1.8471509030723694,a_0,0.16435850531644278,0.06650709460390755
1,1.090245320380023,1.8471509030723694,a_1,-0.6661909408039158,0.08155954773655198
1,1.090245320380023,1.8471509030723694,c_q0,4.540372644925569,1.3209910635505784
1,1.090245320380023,1.8471509030723694,c_qsigma,-3.1295711033759375,1.6811213309513688
